vehiculo_id,hora_salida,zona_origen,zona_destino,tiempo_viaje_min
V0265,19,Oriente,Centro,39
V0102,18,Norte,Centro,90
V0404,12,Poniente,Norte,51
V0480,4,Sur,Poniente,46
V0212,13,Norte,Oriente,81
V0339,16,Centro,Poniente,75
V0092,8,Norte,Sur,71
V0046,20,Sur,Poniente,62
V0045,12,Centro,Poniente,14
V0050,6,Centro,Poniente,17
V0372,9,Sur,Oriente,83
V0370,10,Poniente,Sur,86
V0071,15,Centro,Poniente,64
V0366,10,Norte,Poniente,13
V0430,23,Centro,Sur,83
V0041,15,Norte,Poniente,77
V0173,3,Sur,Poniente,40
V0454,3,Poniente,Oriente,50
V0136,3,Norte,Centro,70
V0019,6,Centro,Poniente,17
V0206,14,Sur,Oriente,7
V0244,7,Sur,Norte,15
V0034,19,Sur,Poniente,43
V0378,9,Poniente,Sur,36
V0147,17,Oriente,Norte,67
V0096,18,Sur,Norte,10
V0026,9,Centro,Oriente,11
V0076,7,Norte,Sur,89
V0318,20,Norte,Sur,30
V0264,17,Oriente,Poniente,17
V0197,17,Centro,Norte,41
V0272,0,Norte,Centro,8
V0390,7,Oriente,Sur,17
V0176,19,Sur,Norte,85
V0055,7,Oriente,Poniente,61
V0112,8,Centro,Sur,29
V0098,13,Centro,Oriente,22
V0159,19,Norte,Centro,55
V0160,0,Centro,Sur,30
V0441,15,Centro,Sur,84
V0043,0,Oriente,Norte,53
V0191,22,Poniente,Norte,9
V0380,7,Norte,Centro,84
V0362,19,Norte,Centro,37
V0442,1,Centro,Oriente,46
V0366,7,Oriente,Centro,9
V0465,6,Centro,Norte,85
V0280,6,Sur,Oriente,90
V0391,9,Norte,Oriente,28
V0436,11,Sur,Norte,9
V0212,5,Poniente,Oriente,17
V0194,7,Sur,Norte,80
V0413,15,Sur,Poniente,9
V0240,19,Norte,Oriente,34
V0441,16,Poniente,Sur,46
V0111,18,Poniente,Centro,90
V0343,21,Poniente,Oriente,71
V0122,14,Poniente,Centro,82
V0051,16,Poniente,Centro,55
V0411,18,Centro,Oriente,31
V0031,22,Oriente,Norte,38
V0113,22,Sur,Poniente,62
V0304,0,Poniente,Norte,48
V0047,0,Oriente,Centro,69
V0265,3,Centro,Poniente,8
V0427,15,Sur,Oriente,5
V0416,8,Poniente,Sur,74
V0162,5,Poniente,Norte,35
V0311,0,Centro,Norte,58
V0227,11,Norte,Centro,30
V0005,16,Oriente,Centro,57
V0031,20,Oriente,Poniente,78
V0302,14,Sur,Centro,31
V0070,19,Centro,Poniente,88
V0147,14,Poniente,Centro,34
V0235,10,Sur,Oriente,27
V0335,13,Sur,Oriente,42
V0212,10,Sur,Norte,32
V0149,2,Poniente,Oriente,37
V0362,5,Sur,Oriente,9
V0436,0,Oriente,Centro,28
V0468,23,Poniente,Norte,15
V0453,18,Oriente,Poniente,50
V0128,23,Norte,Poniente,57
V0036,21,Norte,Poniente,79
V0418,9,Oriente,Sur,20
V0407,21,Sur,Oriente,78
V0478,3,Centro,Poniente,54
V0428,22,Sur,Centro,16
V0187,19,Norte,Oriente,71
V0131,5,Sur,Norte,56
V0225,1,Centro,Norte,18
V0053,19,Centro,Poniente,78
V0035,0,Sur,Poniente,28
V0354,12,Sur,Centro,11
V0175,13,Norte,Sur,50
V0397,8,Norte,Oriente,79
V0359,2,Poniente,Norte,60
V0071,23,Oriente,Sur,53
V0037,5,Centro,Oriente,44
V0282,23,Centro,Sur,15
V0387,17,Sur,Oriente,73
V0452,2,Centro,Sur,69
V0026,4,Norte,Oriente,46
V0463,7,Oriente,Centro,69
V0218,1,Centro,Sur,10
V0222,0,Poniente,Sur,63
V0483,4,Oriente,Poniente,45
V0362,15,Poniente,Oriente,21
V0004,23,Poniente,Norte,57
V0080,1,Poniente,Sur,69
V0091,8,Sur,Norte,62
V0150,4,Sur,Centro,83
V0103,15,Sur,Centro,66
V0148,7,Norte,Oriente,36
V0116,20,Sur,Oriente,50
V0005,22,Norte,Sur,82
V0277,4,Centro,Sur,85
V0296,6,Sur,Oriente,83
V0352,22,Norte,Oriente,82
V0384,11,Oriente,Norte,17
V0048,17,Norte,Oriente,88
V0303,4,Poniente,Centro,53
V0323,2,Poniente,Norte,70
V0040,2,Norte,Poniente,62
V0305,23,Centro,Sur,33
V0378,1,Oriente,Centro,13
V0289,9,Sur,Centro,40
V0182,20,Norte,Oriente,46
V0357,13,Poniente,Norte,59
V0295,15,Oriente,Centro,87
V0499,9,Norte,Oriente,40
V0250,22,Sur,Poniente,21
V0236,13,Norte,Sur,78
V0437,23,Poniente,Centro,42
V0330,4,Poniente,Oriente,62
V0120,15,Sur,Oriente,84
V0287,6,Centro,Poniente,75
V0296,7,Poniente,Centro,40
